document,topic
€95.000 und mehr für grüne Start-ups. Jetzt bis zum 29. Juli 2018 bei ClimateKIC bewerben! NoEquity Cleantech Greentech Startup,0
EU proposes more regulation for web platforms including a ‘20% European content’ rule for Netflix via EITeu,1
Once in a lifetime: Pitched my work project Digieduhack at slush18! Europe is going solve challenges of digital education 3rd of Oct 2019-stay tuned! learning digitalization AaltoUniversity xedu_co ClimateKIC XcitED18,-1
geotermia apuesta sostenible de futuro proyecto pathfinder innovacion E-USE con ITC_ceramica ClimateKIC,0
Harvesting the intelligence of photosynthetic microalgae to de-carbonise futurecities. via ClimateKIC,0
Amira Bentahar ENGIEgroup explains how ClimateKIC ACCENT project accompany cities in energy strategy journey2015,0
"3 days time, cKIC_Alumni will be beach cleaning. Great chance to network and meet fellow EITAlumni.",1
Exciting and impressive participation in the opening video of ClimateKIC's Climathon tomorrow!!! It brings hope and inspiration for us to find solutions to climatechange. More info at,0
"Kirsten Dunlop of ClimateKIC perceiving climate change as a strategic risk leads to transformation of business models and identities, consisent with the emerging world. / The biggest future stranded asset will be our unlivable and abandoned cities. ecca2019",0
Very concerning - hoping to make a modest contribution to this debate... lovesmallwoods ClimateKIC cKIC_Alumni,0
Promising. Soon to start my EITeu Journey. rethinkTomorrow hcid cognitiveDesign businessStrategy,1
Dr. etiennebouyer from CEA_Recherche talking anout their battery recycling project with EITRawMaterials at our Workshop on circulareconomy of ElectricVehicle batteries,-1
Thanks ClimateKIC GlasgowCC HeriotWattUni The_Lighthouse gsc1 HillheadHS,0
Are you a public buyer with specific needs for sanitary crisis? Take part in this EUeic opportunity! Read all the information in the Procure2Innovate story: ICT COVID19 innovation,1
¿Tienes una idea para luchar contra el cambio climático? Participa en ClimateLaunchpad hasta el 06/05 AVAESEN ClimateKIC,0
Great report written by our new CKICNordic partner Material Economics with the support of Sitra &amp; Climate-KIC Per-Anders Enkvist siras3 Circulareconomy Materials,0
"Through our Deep Demonstrations, EITeu ClimateKIC is focusing on transformation to a net-zero emissions, resilient future through a demand-led approach working with city authorities, regional bodies, governments and industry leaders for a sustainable tomorrow. EITFestival",0
Funding of €164 million (over £148 million) available to startups and SMEs with tech ideas and innovations that can tackle the Coronavirus outbreak - funded by EUeic COVID19,1
Kenyan CLP18 contestant Cactigas converts an invasive cactus into a renewable fuel ClimateLaunch ClimateKIC,-1
Day almost over - long meeting full of knowledgesharing &amp; bestpractices to improve all the communities of our beloved EITeu family ❤️🇧🇪 Ready 4 connect18 to meet our friends from EITHealthAlumni cKIC_Alumni InnoEnergyEU &amp; EITRawMaterials Alumni! 😍 Now off to FRAARG,1
EIT Rawmaterials North AB öppnar kontor i Luleå EITRawMaterials ArcticIncubator,3
"Want to know more about the calls on EICPathfinder &amp; EICAccelerator programs? Access2EIC &amp; the EUeic are teaming up for a webinar. opencalls 🗓️ March 25, 9:30-12:30 CET 🔗 Full agenda &amp; registration:",1
"ClimateKIC Hey, Climate-KIC, thanks for the follow - What can we do for you?",0
".AVAESEN i ClimateKIC llancen ClimateLaunch 2019. Si la teua idea està relacionada amb les energies renovables, eficiència energètica o qualsevol altra manera d'afrontar el canvi climàtic, participa. AjuntamentVLC Cleantech_Camp 🌳inscripcions:",0
InnovationGame EITDigitalAcad,1
"EITeu Challenge, al via la call per innovatori deep tech. In palio 750K 5 le categorie in gara le due migliori imprese riceveranno un anno completo di sostegno dedicato dell’EIT Digital Accelerator grocco4",1
“Do you want to explore climate entrepreneurship? Join the pre-incubator programme ClimateKIC while working or studying ” climatechange startups Entrepreneurship innovation,0
Dutch Startup Storro Launches Safe Dropbox Alternative - The Hague Security Delta eit_digital HSD_NL,1
SkittlesSpace PowerLedger_io ClimateKIC MeaganCojocar AimieRigas Too funny.,0
"Das europäische Innovationsnetzwerk EIT_Digital hat die besten europäischen Deep Tech Startups ausgezeichnet, darunter im Bereich Digital Cities: understandDotAi aus Karlsruhe! 😍 startup_valley KarlsruheDigital",1
Can´t wait to go !! EIT DigitAlumni I´m so proud of being part of this Community !! digitalumni17,1
Delhi driving restrictions in force from New Year's Day in bid to clear pollution ClimateKIC c40cities ICLEI,-1
+InnoEnergyBN+InnoEnergyIB+InnoEnergyCE+InnoEnergyBN +InnoEnergyD+InnoEnergyFR+ClimateKIC_DE+ClimateKIC,-1
"Good to be part of it EIT_Digital ! And good to have you, EITeu here, in Budapest!",1
"Don't forget it! Next 24th Oct, InnoEnergyEU Webinar, Micromarkets and EmpowerH2020, by polaceo and asumper",2
ClimateKIC second prize in the competition is Michael. Cool cool woohoo,0
Hopefully you also visited EIT_Digital: the bridge to EU wide digital innovation including Digital Wellbeing EssersEIT hightechcampus,1
Likewise - a great day at obforum with many good insights &amp; inspirational messages from BarackObama as the hightlight of the day in Norway. CKICNordic will be back at OsloIW &amp; support Oslokommune as GreenOslo2019,1
"IPPP, la via di EIT_Digital per ridurre il consumo di carta nelle fabbriche - Industry40 Cefriel",1
Happy to announce our collaboration with ABBSuomi as part of EIT_Digital funded project TAKEOFF. Integrating simulators with control systems for finding the optimal selection of system components. digitaltwin optimization simulation engineering,1
CKICNordic ClimateKIC EITeu AaltoUniversity malmostad lunduniversity All the best to the participating groups,0
.IEEEsmartcities expert rsaracco of EIT_Digital discusses a new shape memory alloy for prosthetics:,-1
“Legislation needs to be innovation friendly.” JEPaquetEU EUScienceInnov on creating the frameworks for a strong digital Europe.​ EITeu RosalindeEU SophiePTJ nat_droz JavierespFT LauKaya vmanancourt fraguarascio FlorinZubascu Video 👉,1
The Business Booster de InnoEnergyEU regresa para acelerar las innovaciones en energía sostenible,2
"EIT Digital Conference: l'Europa ha competenze giuste, università e capitali per trasformare l'industria. StartupItalia EconomiaDigitale zeta3 EIT_Digital",1
WindFloat is one of the projects you will discover at the InnoEnergyEU stand at the WindEurope Conference &amp; Exhibition!,2
slpng_giants_SE EIT_Digital slpng_giants_eu 👏👏👏👏👏👏👏👏👏👏👏,1
"ClimateKIC UN GeSIConnect Deloitte EITeu Beware of anything promoted as ""smart"". ""SMART"" is an acronym for ""Satellite Monitoring And Remote Tracking"" / ""Self Monitoring Analysing &amp; Reporting Technology"" / ""Secret Military Arranged Residential Termination"" / ""Secret Militarised Armaments in Residential Technologies"".",0
"Future education for Renewables Integration, Prof Johan Driesen Treintje1312 EnergyVille InnoEnergyEU uniset2017bxl",2
Want to learn and discuss about Europe &amp; the future of Education? It’s happening in 5 minutes at The Studio at The Egg ! DigitalTalks eitdigital18 - EIT_Digital,1
The EITDigitalAccel Challenge - explained: Apply now &amp; scale up your startup!,1
"We are a member of EIT_Digital and would like to invite you to their Innovation Day hosted on December 5th in Paris, to talk about fintech and customer experience. Registration -&gt;",1
Interesting findings on uni-biz coop in Silicon Valley and a lot of opportunities for Demolanet SJSU IBMResearch EIT_Digital Tekesfi,1
"The European Institute of Technology (EIT) and its partner, the Fraunhofer Institute for Secure Information Technology (SIT) guide you through the process of assessing your CyberSecurity risks and ensuring compliance with the GDPR. EITDigitalAcad",1
VHoffmannEU met with EITALumni today and got inspired by their stories on EIT education. Next step? Help higher education🎓 accelerate their innovation capacity. INNOVEIT,1
Europe Accounts For Over Half Of $22.89T Global SRI Assets As Sustainable Investing Takes Off forbes CKICNordic,-1
Beaucoup d efferverscence pour ce 1er jour climatejourney17 ClimateKIC SoAnn bymaddyness Ddurables LesEchos,0
ClimateKIC helps launch the world’s first climate impact rating for funds! climatefinance climate,-1
La aceleradora en cambioclimático Climate-KIC Accelerator abre su convocatoria para este año ClimateKIC AVAESEN,0
Brilliant start to my 1-2-1 sessions as part of the InnoEnergyEU TheGCIndex Coaching programme yesterday...looking by forward to more tomorrow 👍🏼 coaching ChangeTheGame clarity nextgenerationworkforce,0
"AdamRogers2030 ClimateKIC Marco_vdRee UNDPClimate ScheuerJo HelenClarkNZ nytimes evankirstel kashthefuturist Shell NLatUN iceskatingworld iceskating ZirkusElune RichardMunang arikring KirkDBorne Elfstedentocht The tour is held only when the natural ice along the entire course is at least 15 centimetres (6 in) thick sometimes on consecutive years, other times with gaps that may exceed 20 years Weissensee is the perfect location for the alternative Elfstedentocht!",0
"Former ClimateKIC intern, now student assistant Beatrice Mazzali and her team was awarded the Blue Dot diploma by our partner university DTUtweet for their innovative food product called the Bug Bar. Congratulations &amp; Keep up the good work! EITeu",0
CKICNordic walking the talk nordicsolutions COP23 EU_CoR miljotweets AndersWijkman GDenergi ICLEI usmayors,-1
"Day two of Morecovery EITRawMaterials project meeting. Hosted by uhu_global with team SavoniaAMK, GTK_FI, ltubusiness and UniEastFinland",3
"I guess we do have the, here in Europe, isn't it ClimateKIC ?",0
From being a scientist to a startuper via EITDigitalAcad and create a '6th sense' feelSpaceBelt womenintech,1
ClimateKIC 24hrs to develop Green Entrepreneurial Skills &amp; make cities sustainable Climathon EU4Greenskills,0
"""The EITeu can have a big role in advancing educational activities, and being at the center of European innovation!"" according to TNavracsicsEU (Tibor Navracsics, EU Commissioner for Education, Culture, Youth and Sport). INNOVEIT EITCommunity HorizonEU H2020",1
Our team GalwayClimathon How can you reduce your food waste at home? MScCCAFS_NUIG tech_innovate ClimateKIC RyanInstitute Tokelo_Shai,0
¡Qué buenas noticias para la investigación sobre el cáncer de páncreas en Europa! ¡¡Enhorabuena AbilityPharma sois muy cracks y es un lujazo contar con vosotros en AseBio !! EUeic eicAccelerator,1
congratulazioni Angela e Leonardo!cc CopernicusEU ESA_EO EO_OPEN_SCIENCE ClimateKIC ClimateKICItaly airbus AirbusSpace ArtificialIntelligence,-1
"Want to grow your sustainable energy startup? ⚡️ InnoEnergyEU offers tailored support incl. tech development, market access &amp; €100,000 for the best idea. Apply by 19 Dec 2019! 👉 👉 👉 RenewableEnergy EnergyEfficiency ClimateChange EnergyStorage",2
Takin' it to the masses - our cabin with our hemp insulation in Glasgow demonstrating best circulareconomy &amp; lowcarbonbuilding design Funding ZeroWasteScot CircularGlasgow Support EdCentreCC scotent ClimateKIC unlockingambition cleantechtop30,-1
New report on Nordic climate policies launched today with panel discussion between IdaAuken karolinaskog and Peter Birch Sørensen. Read the Nordic Economic Policy Review 2019: Nordic_Climate CKICNordic SEIclimate stateofgreendk,0
Pioneers into Practice call is open! A unique exchange programme for climate experts and organisations powered by ClimateKIC,0
"Weniger Verkehr, geringere Kosten und weniger CO2-Emissionen in der Logistik? Unser schweizer ClimateKIC Start-up pickwings macht es möglich! Erfahrt, wie das effiziente Transportmanagement funktioniert, bei ""heute und hier"" SRF: Digitalisierung",-1
"ETR 9/25/17: Paycheck Plus raised employment, child support payments and tax filing by low-income participants in NYC MDRC EITCommunity",1
Dal GlobalClimathon capitolino un team tutto al femminile studia la prima rotatoria “antiallagamento” per la cittá di Roma ClimateKIC twittitrentatre,0
How will futureinternet push schools to teach better? Discuss with Willem Jonker at netfutures16 EIT_Digital,1
Our founder attends workshops to Identify the right patterns in the supply chain to mitigate climate change and reduce risk ClimateKIC homepod startups buildings architecture iasi romania sustainability sdg climatechange frankfurt ProvadisSchool germany,-1
TokaGemini EITRMAcademy Błędne tłumaczenie nazwy Politechniki Wrocławskiej w jęz. angielskim,1
Just do it! Build your capacity through smart cities live smartcitieslive CKICNordic MistraUrbanFut ClimateKIC,0
"""The moment of truth is very close. I will soon know if my dream comes true!"" - LauraSoucek from Peptomyc, a project supported by EITHealth. INNOVEIT EITAwards EITCommunity HorizonEU H2020",1
Have you registered yet? Join on 15/10 to learn about how EITeu will boost innovation in 🇪🇺 culture and creative sectors 💡,1
ClimateKIC event opendays2015 interesting case study from Helsinki city,0
26 Unis. 57 Ideas. 1 Community. FIVE ideas nominated to pitch! Join and cheer them on: gruenderszene ClimateKIC,0
"If you're a cleantech entrepreneur from Europe, the ClimateKIC accelerator program can fund and nurture you! oslostartup oslobizreg",0
SteliosYiatros ClimateKIC CyUniTech chrysalisleap I wish you a fruitful meeting!,-1
LAST DAY TO REGISTER! On 24 November in Riga meet the EIT Innovation Communities and learn how to become a part of them! EITCommunity innovation rawmaterials ConnectingMatters,1
Innovation at the service of the EUGreenDeal 🇪🇺 EUeic is supporting climate-neutral innovators and helping bring the EU Green Deal to life. EUeic Learn more about the opportunities that will soon be available for companies with breakthrough ideas!,1
Do you know what EITeu is about? It connects education ↔️ research↔️innovation. More here →,1
PCRec NoI EITRawMaterials meeting in Krakow with a lot of interested Polish industrial partners,3
¿Y qué si mañana es lunes y se ha terminado el fin de semana? ¡Cada vez falta menos para festivalvesos! ClimateKIC,0
"We are hosting Tech Transfer webinars with our EITRMAcademy partners in Spain , Sweden and Italy . FIRST WEBINAR June 10th: Targeted at Tech Transfer Professionals: SECOND WEBINAR June 11th: Targeted at Researchers",1
We want to innovate industry! See how EIT_Digital works for digitalisation &amp; technologicaltransformation watify,1
"LEDS GP event COP23: Ruth Ndegwa - Kenya Climate Innovation Centre has 'bootcamp' that incubates green business ideas of young people, reaches out to universities Environment_Ke greengrowth ClimateKIC",-1
"Helt enig med at potentialet er stort for øget brug af træ i byggeriet - det arbejder vi på i CKICNordic i nordenen finansieret projekt om at øge byggeri med træ i Norden - ikke kun til gavn for klimaet, men også den lokale økonomi. skovkonf2018 dkgreen dkbyg",-1
"Don't miss out! Apply for this unique accelerator program for early stage biomedical founding teams. Apply by 1st March with your start-up idea OxfordSBS OxUInnovation &amp; BioM_Munich EITeu BioEntrepreneurship Lab, apply here",0
9Livingstone EITRawMaterials RWTH ugent LeuvenU UniversiteLiege brainstorming at the EITRawMaterials Doctoral School on Circulat Economy with challenges proposed by Agoria,3
A fire forest risk change-ipccAR5-climatescenario 2041-2070vs baselineclimate1965-1990 climatechange ClimateKIC,-1
"We're in Oslo preparing for tomorrow's NorskIndustri conference! On the agenda is the GreenShift and its dependance on scarce mined resources presented by k_hanghoj, CEO and Managing Director at EITRawMaterials. sustainabledevelopment minerals",-1
"Today we are at IMDEA_Networks to present Ofion, the invoicing solution for pymes in collaboration with EITeu In AtosResearchInnovation we are committed to cover the gap between Academia and Industry.",1
foxTN gvarisco franzbona speckandtech Zatomas FBKcom EIT_Digital cyber No sembra giusto! Grande Fox 😃,1
ClimateSusanne CKICNordic gggi_hq Wow Susanne! Great news and good luck to you as well. It has been a great pleasure to get to know you and work with Climate KIC.,0
"Welcome to InnoEnergyCE new blog series about the trends in cleantech sector 🙌 Also, If you're an energy mobility smartcities cleantech cybersec smog startup and you have an innovative project, find out what the powerup2018 competition is!",2
Amazing ! A new way to create clothe and make more sustainablefashion ? ClimateAction ClimateKIC circulareconomy,-1
"🥁Join our FB livestream event at 8:30 am CET today!🥁To learn more how AI is transforming healthcare, so how can Europe's brightest technical and medical minds use it to improve patient quality of life? HealthInnovation McKinsey EITHealth jorgejuan mdelgadolla EITeu",1
NEWS &gt; ECCI backed social enterprise launches mega sale on recycled uniforms for new school term. ClimateKIC alumnus apparelxchange_ is dedicated to sustainable clothing and the re-use of school uniforms.,0
"DYK that our unique EUinnovation network powers over 1250 madeinEurope ventures? As vf_institute’s digitisingEU summit partner, EITcommunity will present 🇪🇺one-stop shop for innovation 👉",1
ClimateKIC KirstenDunlop sorry that should be KirstenCKIC.,0
"FutureFood for ClimateChange! Ffoodinstitute is realizing the hugest world tour to fight climate change, that is at the end of our forks, as BarackObama said. Please RT and join us! ClimateReality ClimateItalia ClimateKIC FAOclimate YaleClimateComm FF4CC FIGM18",0
But what a womenentrepreneur FloJVGschwend from the ClimateKIC_UKI Accelerator ClimateImpactBattle CKICSLUSH SlushHQ,0
prosparefrance SylvainHermange eRSE_net you should check OriginalRePack with the ClimateKIC,0
[12-14 de l'Arbois] Accélérer sa startup : Rencontre avec ClimateKIC &amp; InnoEnergyFR le 2 mai &gt; Info &amp; Inscription,0
The team Re-Innovation presents a new solution to make it financial possible to renew the heating in houses ClimateJourney UniUtrecht and ClimateKIC_NL UUCopernicus ClimateKIC,0
gtoublanc EIT_Digital Thank you ! So happy to have join one of the best ranked Accelerators ! :),1
KIC_Madeleine will talk about ClimateKIC Education to end today's presentations.,0
Original Yo-Kai Watch headed to smartphones later this year via EITeu,1
5 reasons why start-ups join the Highway InnoEnergy_S ChalmersIndustr idDynamik energy BusinessDevelopment,0
"🔵Keolis Rennes participe à la table ronde ""chercheurs/entrepreneurs, regards croisés"" avec EIT_Digital. j_champen, responsable innovation témoignera de notre approche de l’innovation avec des startups et les universitaires. 📅 Aujourd'hui, 18h30 - Campus de Beaulieu. Rennes",1
¡Felicidades 👏🏼👏🏼👏🏼! Oscillum Biotechnology gana los 🏆 premios agroalimentarios EIT Food Innovation Prizes en España PcientificoUMH EITFood,1
"The EITeu ClimateKIC Circular Cities project finds, develops and showcases concrete examples of what is going on in the world’s cities. “Cities are the catalysers for making the change” - Peter Vangsbo WCEF2019 circulareconomy circularprocurement",0
"Journalists from the CE countries met at the PowerUp press conference at ImpactCEE with our Gold Partners DTEK dtek_en, ZSE, RAFAKO and Jakub Miler, CEO of InnoEnergyCE to talk about the values of InnoEnergy network.",2
R2B2018 twittitrentatre la nostra Innovation Lead ClimateKIC indaga nei businessplan delle startup per colpirne i punti deboli... e trasformarli in meravigliosi opportunitá! opponent HIT_trentino TnSviluppo Aster_ER,0
"If We Don't Take Care Of Mother Earth This MothersDay, She'll Take Care Of Us. Team4Nature300 jodotcom Tumderest BonniBK MtnMD mterr337 KertDavies MikeHudema c40cities ClimateReality 350Vermont dhlovelife eni Vestas edfenergy RobertLlewellyn ClimateKIC dalef3",0
. InnoEnergyEU invertirá €12 millones en España y Portugal,-1
The Future of the EITeu : Strategic Issues and Perspectives LERUnews JoseMLeceta Moedas DavidMGann Alea_LdSR,1
"ClimateKIC We are better educated and trained , have far superior technology then why did we stop learning ?",0
.EIT_Digital Challenge pitch at slush16: Exipple can detect people's gestures using Artificial Intelligence AI machinelearning Wow!,1
"EmilyRHumphreys YourFutureSA ClimateKIC OpenStateSA Not ""every system"" …THE System which depends on perpetual growth &amp; enforces it thru land enclosure",0
EITDigitalAcad The Winter School just started in Eindhoven. 44 students will work during the weekend on the business cases,1
"The future is now and here EITeu, hence allwomenpanel.",1
Read our latest on the Green Deal for Europe! EITRawMaterials ConnectingMatters MakingInnovationHappen EU_Commission TimmermansEU eugreendeal,-1
".EIT_Digital's strives past “fix it when it’s broken” approach, with predictive service for printers:",1
Inversiones💰 InnoEnergyEU y everis crean un fondo de inversión para acelerar la TransiciónEnergética i_deals Para saber más ↪️,-1
"EUDigitalEdu EU_Commission simonapetkova7 pankampylis eu_schoolnet EITeu EU_ScienceHub eTwinningEurope CodeWeekEU DSMeu EUErasmusPlus EdChatEU “A1” EUDigitalEducation EduSummitEU I have experimented with online learning environments that support reflective inquiry practices by providing students access to (a) scientific data, and (b) scaffolding tools to complete their own project (usu. driven by a relevant question)",1
"📢 EITeu lanza la EITCrisisResponse: 60M€ para ""Pandemic Response Projects"" en health climatechange digitisation food sustainableenergy urbanmobility manufacturing rawmaterials ▶️ education innovation unizar UNavarra unirioja UdL_info",1
Financement pour des projets de recherche collaboratifs interdisciplinaires avec un objectif technologique clair: les appels FET-Open fet_eu sont désormais repris sous l'EIC Pathfinder EUeic eueic 🇧🇪 roadshow,1
An urgent vision for adapting to climate change in Europe: via ClimateKIC,0
WDD18 Looking for a solution to manage and prevent t2diabetes? Let’s meet up and discuss at MEDICATradeFair Hall15 E60. EngineeringSpa EIT_Digital FBKcom imec_int EITDigitalAccel diabetes coaching WorldDiabetesDay2018 WorldDiabetesDay DigitalWellbeing healthcare,1
Please take time to vote for the Smart City Leader of 2017 BristolFutures EIT_Digital futurecitiescat techUK SmartCitiesMENA,1
"ClimateLaunch Congratulations! This is very gratifying to read and a key motivation for serving on the jury, coaching a number of Impact startups and moreover having worked for ClimateKIC - climate and impact innovation is marketable and scaleable!",0
Excited to have the European Institute of Innovation and Technology EITeu as one of our awesome community partners at DataNatives2015!,1
Why is innovation difficult in health and care? EITDigitalAcad summerschool digitalhealth ehealth wellbeing,1
"A follow on story from the announcement of MarosSefcovic regarding EU Battery Alliance, with quote from LeadingEdgeMtls. A strong mining industry supports a strong battery industry graphite lithium cobalt InnoEnergyEU EITRawMaterials BusinessSweden",2
360° - 3D Repo Office at EITDigitalAccel via YouTube,1
Thanks thedancingflea Pumped to be ClimateKIC partner for Ireland,0
nainaydoo ClimateKIC climatetalent Maeroooo 😭💙,0
How is it helping your Business if we BLOCK all of you? Stop paying Twitter to SPAM our Timelines with your ANNOYING Paid Ads! AppApe_ General_Devices Consult_NB PitLiquor CynthiaLIVE stevebarha RaveMSafety venturelab_ch EITeu eirhealth GetTheHellOffmyTimeline,1
"jaime_izquierdo SantiagoRaT Joaquin_FLP La_UPM ClimateKIC montes_mnatural arubiosa srgalvarez a_rolalla David_s_Alvarez What?!! You DO want more reasons!!! Ok, here you have! 👉 4-5 December, a Sustainable Entrepreneurship Forum will take part to show you how to succeed, to help you to develop your idea. GrupoTragsa co2revolution COPADE asapia_abejas enaltotajo FSC_Spain ClimateKIC and +",0
Amazing work by everyone at EUeic we !! 1! IC,1
innocent ClimateKIC Thanks! Will do.,0
Apply now EITDigitalAccel,1
Ilmanlaatua ymmärtämällä parempaa hyvinvointia. Quasimodo-projektissa parannetaan kotien sisäilmaa ja luodaan ilmanlaadun personoitu varoitusjärjestelmä. Mukana mm. EIT_Digital helviestinta ilmanlaatu sisäilmanlaatu,1
EIT_Digital 3cixtyDigitalCitiesInnovationDay we are Landing in paris,1
Fagmand opfinder letopsættelige solpaneler med store besparelser cphftw ClimateKIC sustainabletech,-1
ClimateKIC EITeu I'm more concerned by pollution than climate. Pollution is something we as a species can do something about.,0
"Absolutely. CKICNordic &amp; its Swedish partners would welcome Canadian solutions as well, if any.",0
The EC´s public consultation on the EITeu interim evaluation is open! innovation LERUnews,1
Joining the ClimateJourney18 ! Super excited! Summer school for Innovation and enterpreneurship I'll be at the Utrecht/Budapest adventure! ClimateKIC,0
Join us in San Francisco as we expand the EIT_Digital Silicon Valley Hub into the EITeu Silicon Valley Hub. Excellent part-time opportunity at the intersection between the EIT Knowledge and Innovation Communities as we reach out beyond Europe!,1
JosepBordonau InnoEnergyEU KU_Leuven Well done JosepBordonau ! 👏,-1
ClimateAction is Unstoppable This Week’s 10 Biggest ClimateChange Stories by ClimateKIC YourPower Crowdfunding,-1
Today is taking place PRIMER2 in Brasov. We are happy to see startups eager to change something in the energy industry. Many thanks to our partners: InnoEnergyEU GreenEnergyRomanianInnovativeBiomassCluster REPOM innoenergy startups energy renewables,2
"There are a lot of steps that have to be taken to get closer to a circulareconomy, one of them sounds so easy: repair! But obviously its not.... CiceroneH2020 RepairCafe iFixitEU EITRawMaterials",3
"After having supported the ""birth"" of ec2b_mobility CKICNordic looks forward to following your progress",0
Färsk rapport om svenska hälsoappar mhealthapps presenteras av EIT_Digital och mobilbusiness i Hälsodalen idag,1
"The revised Strategic Agenda of EITRawMaterials responds to the current challenges in the rawmaterials sector, it is in line with the EUGreenDeal objectives and supports education, innovation and entrepreneurship for green, circular and sustainable future of Europe.",3
one of the best moments during summer school SintraWalking DigitalWellbeing summerschool lisbon EITDigitalAcad EIT_Digital,1
ClimateKIC accelerator in one image. entrepreneurs investment,0
THANK YOU to all that voted for us for the EITeu InnovEIT EITAwards - we’re a Public Award Finalist: 3rd place (out of 19 competing). It means a lot to us to have the public behind what we are doing! Thank you EIT_Food for nominating us; we’re a proud RisingFoodStar. :-),1
Thanks to all the participants and to our amazing speakers for your contribution to our discussion on Regions and HEIs collaboration for a more innovative Europe. Special thanks to KirstenCKIC manuela_bora ruicoutinho ElwiraRycaj EURegionsWeek ClimateKIC HEInnovate,-1
"1 WEEK LEFT TO APPLY! ClimateKIC Accelerator Stage 2 for up to 20,000 euros funding and support. D/L 25/8",0
"More ""Whether you are thinking of entrepreneurship or starting as an entrepreneur, you need to constantly innovate. The moment you stop innovating, you are dead."" Rahul Bansal iRBansal ClimateKIC wPOWER2017",0
Amsterdam 🇳🇱 Airport Schiphol will expand its involvement in hyperloop &gt;&gt;&gt; - via EITeu,-1
Delighted that we’ll be present and talking about the new INJECT_en startup for digital creativity in news journalism at the EIT_Digital Innovation Day in London on 4th December. More information to follow,1
EIT Digital launches new IoT courses » Horizon 2020 Projects EIT_Digital iot,1
“Innovation always comes from necessity” LeonardoMeeus kicks off the session w start-ups iGrid18 EDSO_eu InnoEnergyEU tmrowco elaadNL,1
"European Innovation Council-funded INFARMBerlin has raised €88M from atomico. Infarm got €1.9M in ‘16 from EU_Commission &amp; raised €20M in ‘18. EIC at its best filling equity funding gap,de-risking innovative SMEs &amp; attracting private investors.EUeic",1
.CopernicusEU Journey participant FrancescaLaros1 explaining the project developed during the climatekic summer school of 2018! Fabulous job by BalanceShift! Tune in live: EITeu sollazophoniasd ClimateSusanne MarosSefcovic EUCommission1,-1
"Delighted that our new project to launch the INJECT_en startup in the news media sector in 2020 has received confirmation of its financial investment from EIT_Digital. Thank you, danke, merci e grazie",1
"Great to have Simone Accornero, CEO of flexidao &amp; recipient of EITeu 2018 CHANGE Award on stage at eventhorizonx, presenting the flexidao approach to renewable energy certificates, created with the energywebx EventHorizon2019 RECs InnoEnergyEU",-1
"Wie kann Europa nachhaltige Investments fördern? Die Antwort von Kirsten Dunlop, CEO von ClimateKIC, lest ihr hier:",0
"Event Non perdete le immagini di MarcoGMarchesi, al DigitalIndustry Kick-off meeting EIT_Digital di Berlino, per il progetto Olivetti Cash Register 4.0 gdt62 cirant68 Innovazione DigitalRetail SmartRetail InnovazioneItaliana TIM_Official jol_scube liuha_petri",1
"ClimateSusanne shares CKICNordic's perspective on and ambitions for reaching the SDGs, and SDG9 in particular at CSR_LINK's sust debate",0
bjornhovstadius thanks for coming - hope you've had a great time! EIT_Digital,1
Bringing electricity💡to remote areas with the help of decentralised renewables? All possible! Take a 👀 at this exciting project accomplished by InnoEnergyEU Master students in Sustainable Energy Systems on the island of Sumba🌴in Indonesia 🇮🇩. 👉,2
hazel_moore EIT_Digital ..thank you Hazel. Very honoured and humbled to be selected as the winner.,1
"WBG_Environment Like ours ClimateKIC ! Social, economic, policy and environmental impacts are key!",0
"Don’t miss Space Data for the Digital Economy today at 13.00 (BST), the EIT_Digital &amp; EdinburghUni webinar with PamCAnderson discussing space-based solutions for downstream digital applications. spaceisawesome digitaleconomy spacedata",1
"Whether we're talking about the EUeic or the ERC_Research we see that science should always be thought out as a long-term investment. It's a marathon that we should not take for granted. From the perspective of EIC, you can see that in our stories on EICPathfinder projects.",1
EIT_Digital to showcase its best digitalcities innovations at SmartCityexpo SCEWC16 smartcities Europe,1
EITeu Loved the foodie photo so I posted it on,1
"EEN_EU EUeic We could develop first in class COVID19 dub and rndp inhibitors. Should we? We need support, suggestions, collaboration, and solid funds.",1
Call for applications: EITeu ClimateKIC is looking for an organisation and/or professional(s) to facilitate activities within the project “Finding innovative solutions for water scarcity in Southern Europe” in 2020. Learn more:,0
Daniel and Anders close the 1st day of the ClimateKIC Forestry workshop and many thanks for who participated and to our moderator Adrian,0
"kolarjana EU_EIC EITeu Se abs. strinjam. Ta točka je v našem gosp. programu. Vabljena k sodelovanju pri razvoju tega ukrepa. Vendar pri predlaganem Tehnološko-razvojnem skladu gre za specifiko, kjer je rigidnost pravil EU omejujoča. Potrebna je kombinacija različnih virov za specifične razvojne cilje.",1
Innovative financial tools are key drivers for systemic change and climateaction. We are proud to have riyongkim representing ClimateKIC's voice at the SB50Bonn! UNFCCC EITeu sustainability,0
Tune in next week! Learn more about how EITeu ClimateKIC's DeepDemonstration Longtermism is rethinking our notions of value:,0
"Allí estaremos, el 14/2 a las 9:30 en una mesa redonda sobre las Oportunidades de Negocio y Emprendimiento a través de las KICs del EITeu✍Registro EIT_Health_es CrossKICSpain EIT_Food EIT_Digital EITRawMaterials InnoEnergyEU ClimateKICspain",0
